Time,E,dE,d2E,J
0.0,1.0,0.9000495767073572,0.743008497332886,0.0
0.02197802197802197,0.9909487635364473,1.0,0.8097439204037735,0.024711072199752795
0.047618975661407645,0.9773719088411181,0.9795853197797825,0.75131702105681,0.053441896186033025
0.07325971347187338,0.9615322450299013,0.9642735576714915,0.7534928583907236,0.08204419622239531
0.09523773544989536,0.9502267062516481,0.9822045330925222,0.7689419431989385,0.10645926136654402
0.11721575742791732,0.9366498515563189,0.9642747607744209,0.7511024008736746,0.13078131752609265
0.14285714285714285,0.9185473786292135,0.948965662638525,0.7534941591954748,0.159019294469629
0.16483516483516483,0.9027162216191842,0.9464792938669462,0.758784986111954,0.1830960930913246
0.1794875392753794,0.8891393669238554,0.9106908494762997,0.7333171678509913,0.19907440085852568
0.19413883435099427,0.8755625122285262,0.9106790062739294,0.7600130349448276,0.21498386888596469
0.2087912087912088,0.8619856575331974,0.9106908494763042,0.7600307099726209,0.2308268412826776
0.2271058673180272,0.8484173096390561,0.942917675531064,0.7792603937086361,0.2505451271059831
0.24175824175824176,0.8348404549437274,0.9106908494763042,0.7359747845304568,0.2662528065305069
0.2637362637362638,0.8190007911325101,0.9464121411616315,0.7777920403102832,0.2897037898271037
0.28205092226308215,0.8031611273212929,0.921401526076731,0.7450912295733576,0.30914721432714576
0.3223446821325222,0.7714903065000462,0.9350840836480976,0.7637345095493295,0.35159876221303615
0.35897399918615913,0.7398194856787996,0.9214418184914382,0.7559498459078349,0.3897950264443079
0.3846153846153846,0.7194542036358067,0.9336550606619481,0.7652295307515258,0.4163063826291359
0.4065934065934066,0.6945633033610368,0.8749616627104757,0.7308238380810701,0.43886091830390533
0.43956043956043955,0.6696809098874548,0.9405027030942457,0.78175821381973,0.4724136471653442
0.4652007456250654,0.6470528187285733,0.9183380134729997,0.7505705755847563,0.49830229741169463
0.5018311420433019,0.6176448070232148,0.9321637051996208,0.7641485283458019,0.534963301456091
0.5347981750103349,0.5972795249802214,0.964274760774422,0.7706713353331491,0.5676788063653838
0.5750908555151754,0.5746599406225275,0.9740537669009152,0.7626753876734065,0.607369498215429
0.6117212519334118,0.5565574676954221,0.9857107464640936,0.7635012169282139,0.6431989248741024
0.6446882849004447,0.5361921856524292,0.964274760774424,0.7529127409692101,0.6752294066875869
0.6849809654052851,0.5135726012947348,0.9740537669009133,0.7626753876734055,0.714082855563251
0.717947998372318,0.49547012836762994,0.976183173849615,0.7607280793895883,0.7456439997313691
0.7545783947905547,0.4705877348940475,0.9535986381963848,0.7532809008675011,0.7804444878301162
0.7912087912087912,0.445696834619278,0.9535583469689488,0.760009846766226,0.8149348899379217
0.8205124607246206,0.42081444114569555,0.9241324224370788,0.7490429158924393,0.8422785385296282
0.8461538461538461,0.393660731755038,0.8877232547322098,0.7444972078645303,0.8659779313207778
0.8644685046806646,0.368778338281456,0.8357398524064779,0.7289892240317558,0.8827434121292196
0.8937721741964939,0.34162462889079803,0.9106849280932313,0.7879842484209545,0.9093090381930184
0.904761185185505,0.3144794263013275,0.6428819131548428,0.49357549221346775,0.9191697871444302
0.9194135596257195,0.28280009867889344,0.6963446775098321,0.7999148430243511,0.9321711831421811
0.934065934065934,0.2533920869735353,0.723238675590209,0.7800896990181074,0.9450203480472824
0.9413915816037415,0.2171871411193247,0.21400262683930915,0.0,0.951362708736428
0.9633696035817634,0.16967665648686125,0.6964026192879003,1.0,0.9700778017289635
0.9743586145707746,0.12216617185439738,0.3213547601246438,0.38687392806129955,0.9792577567110461
0.9853476255597853,0.08144411456959855,0.42853047780137876,0.8666546605689918,0.9882728075583813
0.9926732730975929,0.04524767551657538,0.21420409484953273,0.44014518817462744,0.9941867120024838
1.0,0.0,0.0,0.4403747970235421,1.0
