File,RMSE
traindata/E1.csv,0.08645116280493727
traindata/E2.csv,0.029782866931007974
traindata/E3.csv,0.0305240890648884
traindata/E4.csv,0.030915356677063407
traindata/E5.csv,0.03086481001511686
traindata/E6.csv,0.03122802920882208
traindata/E7.csv,0.0314288711917611
traindata/E8.csv,0.031119574152128328
traindata/E9.csv,0.031337184104351684
traindata/E10.csv,0.031212367179630534
traindata/E11.csv,0.08337729678346603
traindata/E12.csv,0.031338358271161236
traindata/E13.csv,0.03218820207109186
traindata/E14.csv,0.03249431157275616
traindata/E15.csv,0.03268874111202643
traindata/E16.csv,0.032707500300571166
traindata/E17.csv,0.03262433541343153
traindata/E18.csv,0.032839843785303385
traindata/E19.csv,0.03318634917879132
traindata/E20.csv,0.03270855761295751
traindata/E21.csv,0.08346433334115283
traindata/E22.csv,0.031192609926718823
traindata/E23.csv,0.03217909728621025
traindata/E24.csv,0.032564012596783834
traindata/E25.csv,0.03264500452921382
traindata/E26.csv,0.032731203766080505
traindata/E27.csv,0.032835128075011974
traindata/E28.csv,0.032827841838829676
traindata/E29.csv,0.03284983543081143
traindata/E30.csv,0.033004958751377066
traindata/E31.csv,0.08335350167005569
traindata/E32.csv,0.03128197137531536
traindata/E33.csv,0.03213670027723643
traindata/E34.csv,0.03252404730831665
traindata/E35.csv,0.032632973878753344
traindata/E36.csv,0.03282088787419918
traindata/E37.csv,0.032893933149076335
traindata/E38.csv,0.03296269595574828
traindata/E39.csv,0.03292284751014238
traindata/E40.csv,0.03273466931464359
traindata/E41.csv,0.08332964711402885
traindata/E42.csv,0.03182179886711914
traindata/E43.csv,0.03220167383344846
traindata/E44.csv,0.03212929117218335
traindata/E45.csv,0.032634443282697656
traindata/E46.csv,0.033059885030846406
traindata/E47.csv,0.03272922820550194
traindata/E48.csv,0.03289056367196307
traindata/E49.csv,0.032928995574552276
traindata/E50.csv,0.03312763985907185
traindata/E51.csv,0.08329933318748127
traindata/E52.csv,0.031187691898152573
traindata/E53.csv,0.032481980838731564
traindata/E54.csv,0.03254463166894429
traindata/E55.csv,0.03276460025672201
traindata/E56.csv,0.03273096863135791
traindata/E57.csv,0.032930810593632384
traindata/E58.csv,0.03271130615395886
traindata/E59.csv,0.032820176886604414
traindata/E60.csv,0.032926022225793196
traindata/E61.csv,0.08336429975434564
traindata/E62.csv,0.030464725211941487
traindata/E63.csv,0.03206547677706718
traindata/E64.csv,0.032665695737250526
traindata/E65.csv,0.03260340162641903
traindata/E66.csv,0.03270692982214511
traindata/E67.csv,0.033140338581411494
traindata/E68.csv,0.03286787498683069
traindata/E69.csv,0.032871487348036924
traindata/E70.csv,0.03322889971650127
traindata/E71.csv,0.0833054359485032
traindata/E72.csv,0.031138120114156176
traindata/E73.csv,0.03228825142731453
traindata/E74.csv,0.03246786070080199
traindata/E75.csv,0.03264029492891593
traindata/E76.csv,0.032999510718295884
traindata/E77.csv,0.032813785578482565
traindata/E78.csv,0.0329088259581598
traindata/E79.csv,0.03274460965471052
traindata/E80.csv,0.032594445090476855
traindata/E81.csv,0.0833957165739513
traindata/E82.csv,0.03113108355968981
traindata/E83.csv,0.032222197673729046
traindata/E84.csv,0.03248962884304622
traindata/E85.csv,0.03298554795524116
traindata/E86.csv,0.032886120873050775
traindata/E87.csv,0.03223959047703529
traindata/E88.csv,0.032371593669847154
traindata/E89.csv,0.032705976304100465
traindata/E90.csv,0.03285338860915698
traindata/E91.csv,0.08343658347582687
traindata/E92.csv,0.03090078905518286
traindata/E93.csv,0.03217189540322805
traindata/E94.csv,0.03246687962038814
traindata/E95.csv,0.03263241642949594
traindata/E96.csv,0.03316500611447728
traindata/E97.csv,0.03264859767529698
traindata/E98.csv,0.03282152704316197
traindata/E99.csv,0.03242642441228502
traindata/E100.csv,0.03323388123906319
